"subject","datestamp","timestamp","version","comments","id"
"AEF0OOR0I1101_m3r5","2015-01-12","17:08:05","rp_moral_1","I would find a word that was paying well and choose the number that would take me to that word. When that word stopped paying well, I would randomly choose a new word until I found another one that was paying well.","18"
"A3CYS14RCWT0OO_m3r5","2015-01-12","17:08:08","rp_moral_1","undefined","19"
"A7CYU79YGRVQ8_m3r5","2015-01-12","17:08:23","rp_moral_1","I chose what I thought would give me points but ended up being wrong most of the time.","20"
"A150MDVC0C92OT_m3r5","2015-01-12","17:09:02","rp_moral_1","Thanks, I tried to find out when the number whas going to end being good before it ended being good.","21"
"A2J9RNKXNLRKVC_m3r5","2015-01-12","17:09:21","rp_moral_1","My strategy was to find wich number/word combo gave points, and keep on it until it dried up. Then try the other word in the same number combo. If they both words did not give points, then I would switch to the other number and try them. The green screen I just did randomly.","22"
" A3HB9PPUZU565U_m3r5","2015-01-12","17:09:28","rp_moral_1","I tried to go with the words that were winning, but it took awhile to actually get winning numbers!","23"
"A1HRK0IEJF8QMC_m3r5","2015-01-12","17:11:07","rp_moral_1","I mainly just went with my gut instinct. If I saw that the numbers were going into the negatives, I would switch words to see which one will give me points and stick with that until I got negatives again. ","24"
"A3PDWGTQL7EVSW_m3r5","2015-01-12","17:13:37","rp_moral_1","undefined","25"
"AOO39X8E3OJYY_m3r5","2015-01-12","17:14:46","rp_moral_1","I picked a set of 2 and would change to a different set when I started to lose points.","26"
"A38H9FJ0DLPCXR_m3r5","2015-01-12","17:15:04","rp_moral_1","i would try any given word twice, if it paid out i would keep clicking it till it lsot twice then i would move on to the next one","27"
"A1UTBDKOQ2MKUD_m3r5","2015-01-12","17:16:29","rp_moral_1","At first I chose to click on each different option once and see which one generated positive outcomes and then I kept clicking on it until it no longer gave me positive outcome and moved on to another that would give me positive outcomes. I basically just repeated this process over and over again until the end.","28"
"A66CB1480IJXA_m3r5","2015-01-12","17:17:55","rp_moral_1","I kept with the hot numbers and cycled through when I felt they were cooling off.","29"
"AULC5HR1BBHMA_m3r5","2015-01-12","17:19:42","rp_moral_1","thanks!  I just tried to bounce back and forth to see the ""trends""  hit a bunch of neg ones before I hit some positive ones. ","30"
"A1SR24D81D4LZO_m3r5","2015-01-12","17:20:45","rp_moral_1","Game was pretty fun. There was no real strategy. I just found one until it went negative and switched.","31"
"A1HGC1W5EWXUYS_m3r5","2015-01-12","17:21:25","rp_moral_1","undefined","32"
"A1Y10YJ5ZSMALG_m3r5","2015-01-12","17:22:10","rp_moral_1","just went with one until it seemed the streak was ending","33"
"AF95NVJ1ERJYW_m3r5","2015-01-12","17:22:26","rp_moral_1","I would test out each of them and see which ones were on the upturn (0,+1) and see if they improve or bounce around some more.  I felt it was all very very random, and was akin to typical gambling where you have a false sense of control.  Still I tried to ""game"" the system and find the ""hot"" word whenever I could.","34"
"A2IZ2W58WQXPKH_m3r5","2015-01-12","17:25:08","rp_moral_1","I just went across the 4 word choices left to right until I got a positive outcome. Stayed on that word until it got negative then continued to work my way around to each of the words. ","35"
"AQPSU5H8HLUWY_m3r5","2015-01-12","17:28:09","rp_moral_1","I went to ones that won money before. This backfired and I was lost towards the middle and end. ","36"
"A2ZE53LGYKE7S3_m3r5","2015-01-12","17:28:43","rp_moral_1","undefined","37"
"A3JXQ4WFIJSQ3D_m3r5","2015-01-12","17:29:41","rp_moral_1","If one word started getting bad I would switch to another word or number until I found one that produced positive results. I used the guess and check method. I then stuck with a good word until it turned bad.","38"
"A2TAUP3B2QB99F_m3r5","2015-01-12","17:30:14","rp_moral_1","Thank you very much for sharing your experiment! My strategy on the numbers was to try and find a pattern. I got threw off in the beginning, but in the end I kind of found a pattern that seemed to work for me so I could bring my bonus back way up from the negatives!","39"
"ATA8OGSYN5YPS_m3r5","2015-01-12","17:30:43","rp_moral_1","Trying to figure out a pattern","40"
"A1W17OY3AO1B72_m3r5","2015-01-12","17:31:32","rp_moral_1","It was a good intresting study enjoyed it much and thanks.","41"
"A1VNYP58BTF4HX_m3r5","2015-01-12","17:32:22","rp_moral_1","I was trying to find a word that was paying out good and I stuck with it until it starting going negative. ","42"
"A3FG9YWTFFK1AU_m3r5","2015-01-12","17:32:43","rp_moral_1","I chose the numbers that would take me to the word that was currently winning a + point value.","43"
"A248P03SBIGVNH_m3r5","2015-01-12","17:35:51","rp_moral_1","I just followed the money and kept clicking that choice until it turned around. Then I clicked around randomly on other words/numbers until I found another word that produced points.","44"
"A1JNK18ZXH7FTK_m3r5","2015-01-12","17:36:36","rp_moral_1","luck. Buy my butt a lottery ticket!","45"
"AD9GVEG7LLC6S_m3r5","2015-01-12","17:43:43","rp_moral_1","I just tried to stick with what was paying out points and tried different buttons when the payout changed. ","46"
"A2D0XTJ0PI40QY_m3r5","2015-01-12","17:44:30","rp_moral_1","I looked to see if there was a pattern of words and a positive payout. ","47"
"A3LDI9J4FZ6S0Q_m3r5","2015-01-12","17:46:19","rp_moral_1","undefined","48"
"A1AQK667NBERJ1_m3r5","2015-01-12","17:46:29","rp_moral_1","I went with what was hot at the time. I will say that the game stalled a few times in between screens not sure why. ","49"
"A1IA4CST74I1Q8_m3r5","2015-01-12","17:47:08","rp_moral_1","Just random clicking.","50"
"a21qmmjhosg779_m3r5","2015-01-12","17:49:28","rp_moral_1","undefined","51"
"A3Q198AX290HZD_m3r5","2015-01-12","17:53:12","rp_moral_1","I just kind of had a pattern goin on","52"
"A30715E868K7IR_m3r5","2015-01-12","17:53:37","rp_moral_1","I learnt","53"
"A3DYW97U2K2QB2_m3r5","2015-01-12","17:53:53","rp_moral_1","I kept with whatever one was paying until it stopped, then tried the other in the pair. If that one paid, I stayed with it until it stopped, then switched number groups and repeated.","54"
"AG20MAXFDIF5J_m3r5","2015-01-12","17:59:35","rp_moral_1","My strategy was to keep coming back to the numbers that led to the words that awarded points most often. Even though the points changed, as I was told they would, the same words seemed to consistently award the highest points for the longest durations and so I returned to those words the most.","55"
"A1QG4N21BF61PC_m3r5","2015-01-12","18:05:13","rp_moral_1","If I saw one that was giving me positives I would keep clicking it until it stopped then I would test out the others to find the next positive.","56"
"AEHXJIW38LJS4_m3r5","2015-01-12","18:12:55","rp_moral_1","Change only when there were repeated negatives, otherwise stick to a word that was generally paying out over time.","57"
"A20SBI74WRWH0J_m3r5","2015-01-12","18:21:55","rp_moral_1","not much of a strategy.  If I got burned to badly I would swith numbers.","58"
"AYYSG3O9FNU15_m3r5","2015-01-12","18:23:42","rp_moral_1","Try to find the hot word and stick with it til it ran cold","59"
"AAJEPFSQNC6X_m3r5","2015-01-12","18:25:12","rp_moral_1","If I know that I am getting points on a certain word then of course I would keep trying the numbers over and over again. If I would notice I was losing points then I would take the same number again but choose the other word assuming that it might be giving out points. If that one is not giving out points either then I move on to the other numbers and repeat the steps.","60"
"A154XH0IEZG247_m3r5","2015-01-12","18:29:18","rp_moral_1","If I got points from it, I tended to repeat. Other than that, I thought it was kind of hard.","61"
"AJETFLAXRDTKJ_m3r5","2015-01-12","18:31:02","rp_moral_1","I picked the number with the most points.","62"
"A2JUYWXAPL950O_m3r5","2015-01-12","18:31:39","rp_moral_1","I just tried to alternate and find the word that was in the +. It was a fun survey, thank you","63"
"AMERD84D2MGKR_m3r5","2015-01-12","18:32:38","rp_moral_1","Tried to find the one with the highest value, then kept clicking it until it went down.","64"
"A1G9LPKX76XHR1_m3r5","2015-01-12","18:33:24","rp_moral_1","Strategy was to go through each of the 4 word choices systematically and continue clicking on number/word combo if it was +. When + word became -, then restarted systematic review of number/word choices until + word was found","65"
"A1A1A9UHNQCI9Y_m3r5","2015-01-12","18:36:43","rp_moral_1","If I saw that a number would lead to a word that gave me points, I would continue to choose that number and word until the word either changed or gave me negative points. ","66"
"A91S9A936ET8A_m3r5","2015-01-12","18:39:37","rp_moral_1","Just moved around based on what felt right, plus switching between shapes with more sides & shapes with less sides.","67"
"A1MX4FXNOQDN7P_m3r5","2015-01-12","18:41:26","rp_moral_1","I JUST REALIZED THAT THE LILY PAD QUESTIONS ANSWER IS ""47"", I ANSWERED IT WRONG. SILLY ME! GREAT SURVEY, I REALLY ENJOYED IT.","68"
"A2CKW83ERUX07J_m3r5","2015-01-12","18:42:25","rp_moral_1","I just paid attention to what caused what, and when the result shifted from positive to negative. ","69"
"A3W1WV731SLD7X_m3r5","2015-01-12","18:44:12","rp_moral_1","Under each number I just kept clicking on the words that gave me points until I ran out. When both words ran out of points, I went to the other number.","70"
"A27GWQRYBOKOLQ_m3r5","2015-01-12","18:47:34","rp_moral_1","Whenever I started losing points I switched words.","71"
"A1KXYURHCYHKOL_m3r5","2015-01-12","18:48:48","rp_moral_1","Monetary decisions based on my immediate needs and payoff. If the payoff was big enough, it was worth the wait. Moral decisions were difficult. One is tempted to always go for the saving of most lives, but having to participate in the taking of a life to do that is a difficult decision to make.","72"
"A14TRU3V93NVFX_m3r5","2015-01-12","18:49:56","rp_moral_1","I suppose the closest thing to a strategy was just using my gut feeling to determine whether a set of numbers felt ""lucky"" or not given whether I won points or not.","73"
"A3NDYVCFCYRPT9_m3r5","2015-01-12","18:55:48","rp_moral_1","Hi! This was a really fun experiment. I encountered one bug. The ""lily pad"" question did not display the full question. It stopped after the phrase ""how long,"" so I left that box blank. As to your question about any strategy I might have used, I think I tried to be methodical in the order I chose the numbers and words, but then relied on my gut when deciding which pathway was ""hot"" or ""cold."" In other words, I started with the ""11111"" box and tried to test the corresponding word boxes in order. If I found a word that was winning points I stuck with it until I felt it growing cold. If I only found losing words, I tested the next number and word combination in order (basically left to right).","74"
"A1KRO0JWU6LT0I_m3r5","2015-01-12","19:04:00","rp_moral_1","undefined","75"
"A2SK5KHKKIT5T2_m3r5","2015-01-12","19:04:06","rp_moral_1","I was trying to focus on the word streaks, and when I noticed that I got 4+ points for a word I would try to get back to it and select it again, seeing how it would affect the points I got.","76"
"A25BDZJ7E8I0PG_m3r5","2015-01-12","19:06:06","rp_moral_1","iT SEEMED LIKE PICKING 2222222 AND THE ""M"" WORD WAS THE KEY TO GETTING POINTS","77"
"A3BR5HX5FTJWDE_m3r5","2015-01-12","19:14:37","rp_moral_1","chose randomly","78"
"A1EFWZTCRESQ0K_m3r5","2015-01-12","19:20:23","rp_moral_1","I just tried to find some type of pattern, but I failed miserably.  Thank you for the opportunity to participate though, it is greatly appreciated!  ","79"
"A1ORY302BLW47U_m3r5","2015-01-12","19:43:56","rp_moral_1","If I had a good thing going, I stuck with the same number choice. If both letter choices ended up being negative in a row from the same number, I would switch the number choice.","80"
"A144CG4DJ1O4P3_m3r5","2015-01-12","19:47:07","rp_moral_1","undefined","81"
"A2FAD2R8PD7YAU_m3r5","2015-01-12","19:52:58","rp_moral_1","as the numbers went from a higher point value down to 1, I would attempt to switch to another set.","82"
"A2CDVWS5RY97UN_m3r5","2015-01-12","19:53:50","rp_moral_1","Found the item that had most points to start, stayed with that number.","83"
"A3U68HIM9W5THL_m3r5","2015-01-12","20:02:40","rp_moral_1","I stayed on words that were paying. When they were no longer paying I tried other words until I found one that was paying on stayed on it. Repeat. A couple of times I tested all the words to see if anything was different or had changed. I usually did this once the word I was on stopped paying. ","84"
"AMN2BRHBYE4G1_m3r5","2015-01-12","20:34:29","rp_moral_1","when i was losing i changed until i had a winning patteren. left right or left left etc.","85"
"AP92V2XFQ1DPS_m3r5","2015-01-12","20:56:09","rp_moral_1","i detected a rhythm or so i felt","86"
"A8ZVT7438CTT5_m3r5","2015-01-12","21:09:46","rp_moral_1","I chose one way until I lost and then I chose a different way until I started losing again. ","87"
,"2015-02-19","02:17:47","dde_fmri_1",,"88"
,"2015-02-19","02:18:18","dde_fmri_1",,"89"
"test_dg_v15","2015-02-19","02:21:17","dde_fmri_1","test","90"
"!!MORGANTEST_dg_v15","2015-02-19","17:13:45","dde_fmri_1","blah","91"
"A5W1JNZ6RSY1S_dg_v15","2015-02-19","18:06:01","dde_fmri_1","Well, the colors ended up not being relevant. I just kept clicking odd numbers until they went down in value then switched to even. ","92"
"A5QFJ9OPSQHTF_dg_v15","2015-02-19","18:06:47","dde_fmri_1","Waited for a 0 or loss, then switched.","93"
"A1945USNZHTROX_dg_v15","2015-02-19","18:07:37","dde_fmri_1","I found in my mind it started blending the colors together but even and uneven became more clear. It felt that after a bit that I could get on winning streaks until the green interrupted my thoughts.","94"
"A2C1DSYB5312ZG_dg_v15","2015-02-19","18:10:14","dde_fmri_1","I alternated when a color was losing. If the color gave zero points, I would more than likely stay there. ","95"
"A2BN2BM2ZGA9Z5_dg_v15","2015-02-19","18:11:27","dde_fmri_1","My strategy was to pick a color that gave me positive points.  I would then continue picking that same number untill it started giving me negative numbers.  Then I would switch to the other color.  I kept repeating that strategy for the whole game.  I tried to ignore all points coming from when the green color showed up.","96"
"A2CEXG9VDKI9NP_dg_v15","2015-02-19","18:12:48","dde_fmri_1","I differentiated with odd and even honestly. But I am suspicious that there were other variables I was missing, for instance the delay periods, or which numbers yielded better results. Like if 2 and 4 are red, 4 could be more likely to win than 2. I couldnt get a grasp on the pattern though ","97"
"A2LLCYCCR4ZM5L_dg_v15","2015-02-19","18:13:03","dde_fmri_1","At first I thought that plus one meant the next time I clicked that color, it might be minus one. However, towards the middle, I decided not to change numbers unless I lost.","98"
"AF9OA6LYG27BX_dg_v15","2015-02-19","18:14:14","dde_fmri_1","First of all, it seemed like there were WAY more than 30% green!  More like 50%.  Also, it sure got stingier as I went along.  I was able to stick with one color early, but as it went along it became more random and it seemed like both were cold and neither paid.  Early I caught a pattern maybe, but not at the end.","99"
"A1MB3A5MC58LK6_dg_v15","2015-02-19","18:15:56","dde_fmri_1","I went with blue in the beginning and throughout most of the games until I saw I was losing over a few moves, then I would switch to red and do the same thing. It was mostly gut feelings. I reminded me of gambling. ","100"
"A1VVEQOIHSSHX0_dg_v15","2015-02-19","18:20:40","dde_fmri_1","I switched colors whenever I got a -2 or below, or if I had several 0 and -1 in a row.","101"
"AA3L3CZRK6VIR_dg_v15","2015-02-19","18:22:37","dde_fmri_1","when blue was high I would choose blue and vice versa. When green showed up I would not figure it into my strategy","102"
"A3RG2ZPDPL6E4A_dg_v15","2015-02-19","18:23:30","dde_fmri_1","None, I was completley confused! USually good at these kinds of tasks, not this one! I tried finding patterns but would just get confused, I even tried clicking faster, nothing seemed to work. I had on good strech when i went with red then blue, red then blue, but it seemed to fail too. ","103"
"A1L11JDXS2HK51_dg_v15","2015-02-19","18:25:18","dde_fmri_1","If the even numbers was positive then I kept clicking them until I lost, then I changed to odd numbers.","104"
"AMX1C6N0OHJDZ_dg_v15","2015-02-19","18:32:04","dde_fmri_1","The strategy that I used was, I would observe a pattern. For example if I choose an even number and it produced red which from there gave me a positive amount I would continue to choose that pattern and so on. ","105"
"A2KVYRNL2CK95F_dg_v15","2015-02-19","18:34:16","dde_fmri_1","Which ever color was awarding me points I stuck to it until it started substracting.","106"
"A3C9PTN49QTVFN_dg_v15","2015-02-19","18:39:04","dde_fmri_1","Seemed like even numbers were the better choice.  ","107"
"A37I58C4258IPX_dg_v15","2015-02-19","18:42:59","dde_fmri_1","I typically just rode one number/color until it went completely into negative numbers, then switched.","108"
"A18T7E73TNGOKP_dg_v15","2015-02-19","18:51:57","dde_fmri_1","if the number was negative switch to the other if it hit zero try the other","109"
"AH3ER3EJXHRO2_dg_v15","2015-02-19","18:55:58","dde_fmri_1","I tried to guess which numbers were getting ""hot"" or ""cold""","110"
"A1T9IKE8GV4LR4_dg_v15","2015-02-19","18:58:42","dde_fmri_1","For the most part, I tried to choose a desired color and make my choices accordingly, but once I noticed that the points received for that color decreased, I would try the other.","111"
"A14NATHUBGL5M9_dg_v15","2015-02-19","19:07:40","dde_fmri_1","As soon as a number started losing, I would switch to the other number.","112"
"AJVHIAAVCY4HI_dg_v15","2015-02-19","19:29:32","dde_fmri_1","I just noticed which colors tended to make me lose points in each rounds and tried to choose numbers that corresponding to the other color.","113"
"A1489QNXV5IM6O_dg_v15","2015-02-19","19:30:18","dde_fmri_1","I went with the color that was hot.  When it went negative, I switched the color.","114"
"A050383932MZW4XOYPJAY_dg_v15","2015-02-19","19:30:58","dde_fmri_1","Although I did not observe any specific pattern, I did see that choosing the color red (2,4) gave more points. This was not the case all the time though. I kept choosing a particular color if it kept adding points. Once it reached zero or reduced points, I switched to the other color.","115"
" AIUKV0KVALMY6_dg_v15","2015-02-19","19:33:52","dde_fmri_1","undefined","116"
"A1R4KVYEV07CAJ_dg_v15","2015-02-19","19:33:53","dde_fmri_1","My strategy was simply keep choosing the choice that was a postive until I got a zero or negative result and then switch back and forth accordingly.","117"
"A2U6D0T6GFXZIF_dg_v15","2015-02-19","19:35:28","dde_fmri_1","I thought of the choices as ""odd or even"" instead of ""get blue or get red."" It seemed like each color would have a period of high points then decrease towards and past zero. Whenever a color got to zero or negative I would try the other color until I found positive points again. ","118"
"APZDUTKU291JV_dg_v15","2015-02-19","19:53:05","dde_fmri_1","My strategy was to keep doing the same color until i got a negative or 0 value, although I think it was largely random, and clicking quick may have been the most efficient option.","119"
"AS6ACVC8OD1BT_dg_v15","2015-02-19","20:06:52","dde_fmri_1","I would choose a color and see over the course of 2 or 3 choices how well it was doing for me (ignoring the greens.) If it was doing poorly (less than zero for 3 turns) I would most definitely switch to the other color. I noticed there were times where neither color appeared to be hot so I would just alternate between the two until I found a color that was heating up.","120"
"A1YC558J4E5KZ_dg_v15","2015-02-19","20:20:21","dde_fmri_1","Moving average (MA)","121"
"A1VOWQJOBWOVKG_dg_v15","2015-02-19","20:22:49","dde_fmri_1","stick with the winning color till it goes bad and then switch","122"
"A7N6S6UMIBGHH_dg_v15","2015-02-19","20:39:37","dde_fmri_1","I attempted to find a number that would let me increase points. Once I found one, I kept going until I lost points on that color, then switched.","123"
"A30AFC17LLJFV6_dg_v15","2015-02-19","20:46:28","dde_fmri_1","I went with the same color until I hit negative numbers twice in a row when actually hitting the chosen color. I did not count green as a negative. So I would choose blue until I hit negatives on blue twice in a row, then I would switch to red. Rinse and repeat... ","124"
"A34AMAEZ8SNSXT_dg_v15","2015-02-19","20:50:18","dde_fmri_1","My strategy was to choose a color that was giving positive points then once I got a green for that color I would stick with the same color untill the green was 0 then I knew it was getting close to needing to switch colors. I would alternate back and forth the duration of the game.","125"
"A2MD7JLDQ34JB2_dg_v15","2015-02-19","20:52:52","dde_fmri_1","The first selection was just random, of course.  Thereafter it was simply picking and picking and picking one particular color until it started not yielding the points and then switching over to the other color and vice versa.","126"
"AOO5U5CI7KOD8_dg_v15","2015-02-19","21:14:27","dde_fmri_1","Go with what was positive.","127"
"aikbrex7sepxe_dg_v15","2015-02-19","21:22:56","dde_fmri_1","tried to just pick which one was staying with a positive and not a negative","128"
"A2UIPRZUHUN9OU_dg_v15","2015-02-19","21:26:29","dde_fmri_1","I watched the results and switched colors when red or blue started giving negative points.","129"
"A2ZJ282IMK4033_dg_v16","2015-03-02","22:30:06","dde_fmri_2","I stuck with a color until it went negative.  Then I chose the other color and if it resulted in a greater negative hit I went back to the previous color.  I stuck with whatever resulted in the highest amount of points without going negative.","130"
"A167ZMF9JA4564_dg_v16","2015-03-02","22:30:14","dde_fmri_2","When one was getting + numbers I would continue choosing that color. Once it got a negative I would switch.","131"
"A2HSCKH5NKN5LP_dg_v16","2015-03-02","22:30:54","dde_fmri_2","I first started going for even numbers..but after a while it just was non-stop negative.  So honestly, after that I kind of just randomly clicked, trying to alternate between right and left here and there.  it seems to have worked because I definitely got a bigger bonus than I was heading towards early on.","132"
"A3CKD1NOQZTPHB_dg_v16","2015-03-02","22:31:44","dde_fmri_2","i went with the even/red choices for almost all of mine. ","133"
"A1G93QD73GJ4R7_dg_v16","2015-03-02","22:32:33","dde_fmri_2","My strategy changed so much it was ridiculous. started rooting for red then turned to blue toward the end. ","134"
"TurkChris_dg_v16","2015-03-02","22:33:54","dde_fmri_2","I took the assumption that as one set of numbers values went down, the others would rise.  I would take note when values appeared to be lowering for the numbers I was choosing, and try to jump to the other set before the values dipped into the negative.  I am not sure this is in actuality how the numbers worked, but it seemed like a decent strategy.","135"
"A32QJF67JMJFKX_dg_v16","2015-03-02","22:35:03","dde_fmri_2","I ran the colors while they were hot, per the instructions. I think I did fairly well following your advice. ","136"
"A3MTARDZ80DNV8_dg_v16","2015-03-02","22:35:12","dde_fmri_2","I just tried to go with what appeared to be winning.  Would switch if one color started losing. ","137"
"A289D3FHWNPXWP_dg_v16","2015-03-02","22:35:48","dde_fmri_2","pick until number was -","138"
"A2HY3U040EUBIO_dg_v16","2015-03-02","22:36:58","dde_fmri_2","I had no strategy. It was pretty obvious that it was all random.","139"
"A1EY5YPJS97IE4_dg_v16","2015-03-02","22:37:07","dde_fmri_2","No strategy. By the end I just assumed that I would get the same result regardless of what choice I made.","140"
"A3MRB8TFD1IUS6_dg_v16","2015-03-02","22:37:10","dde_fmri_2","Just paid attention to where the points were.","141"
"A28PZF7KB8FL7Z_dg_v16","2015-03-02","22:37:29","dde_fmri_2","I just tried to go with my instinct in would color would give me the best opportunity.  I thought there was some correlation between the color and the background color of the number screen.","142"
"A10LNESMD3N7E_dg_v16","2015-03-02","22:37:55","dde_fmri_2","If I got a negative from blue or red, I changed my next color choice.","143"
"AK81F0NOBFJS3_dg_v16","2015-03-02","22:39:04","dde_fmri_2","I noted how much each color was worth at a time, and what the overall trend was, whether the scores were going up or down, and going with the opposite color every third round or so.","144"
"Cushman Lab FC_DDE_dg_v16","2015-03-02","22:39:29","dde_fmri_2","At first i thought that the green was the turning point for deciding which color was going to give me the most points, that didnt seem to be true. And , also at one point i thought the green was simply costing point and that wasnt true either. I then was just trying to figure out to how to get more points.","145"
"A2C60IBFGTEHIA_dg_v16","2015-03-02","22:39:36","dde_fmri_2","undefined","146"
"A2NMETDZGRDQ55_dg_v16","2015-03-02","22:39:52","dde_fmri_2","undefined","147"
"A3DRA9UGT045XY_dg_v16","2015-03-02","22:40:22","dde_fmri_2","Looking to see how the numbers flucutuated up and down and try to pick the ones that were positive.","148"
"A1C7HB80FBQ7WC_dg_v16","2015-03-02","22:42:59","dde_fmri_2","I picked my goal in round one randomly, and for round 2, I chose the opposite goal, in order to gauge which color currently had a higher value. From there I tended to stick to my color goal until it dropped into negatives, when I would switch to the other color. I was interested in whether ""loyalty"" was rewarded, so I began experimenting with staying with my color goal even after it returned a few negative point values, rather than switching immediately. I felt I had some success with this strategy, though it could have been my imagination. ","149"
"ANKCM4EYXW96O_dg_v16","2015-03-02","22:44:14","dde_fmri_2","I started with blue and it was working well.  When I started getting negative numbers, I would switch to red - after two negatives in a row.  However, red rarely proved helpful, so I just ended up switching back to blue.  Only once, when I switched to red, did I receive some positive numbers.  It did not last long, however, and back to blue I went.","150"
"APEH3OH95ZE21_dg_v16","2015-03-02","22:45:02","dde_fmri_2","I tried to pay attention to see if overall the points for a particular color were trending upward or downward. When the points for a color seemed to be going down, I would wait until it got to zero or negative points then I tried the other color to see if it was going up in value. Sometimes if a color was trending down but had not gone into negative points yet, I would still switch to the other color if I got a full 6 second delay, my thinking being that maybe during the delay, the color I had chosen before had already become negative. At times it felt like both were losing and I would just try to pick which would lose less.","151"
"A1PJLZSOUQ4MIL_dg_v16","2015-03-02","22:46:47","dde_fmri_2","I chose blue first off randomly and then stuck with it when it resulted in points.  Every time it went to negative points I switched to red for a few rounds.","152"
"A1H2Q8MBAJWWYJ_dg_v16","2015-03-02","22:47:10","dde_fmri_2","I tried to stick to one color until it started returning negative numbers. ","153"
"ANXJRYZDKHNDV_dg_v16","2015-03-02","22:49:06","dde_fmri_2","Since the game moved pretty fast I did not have a lot of time to try and keep track of the points each color earned. I did try to figure the points per color, when they went up, down and negative in value. Towards the end I did better because I changed colors quickly when the points became negative. Towards the end I think I switched colors after one negative result.","154"
"AU849EHZNGV2Z_dg_v16","2015-03-02","22:50:11","dde_fmri_2","I kept going with the same color if I knew it was giving positive results. If it went negative, I switched to the other color. I was able to easily remember the colors by thinking to myself that blue are the odd numbers (1 and 3), and red are the even numbers (2 and 4).","155"
"AW2PMF63WNYVM_dg_v16","2015-03-02","22:53:03","dde_fmri_2","My strategy was to find the best number and stick with it until it started giving me negative numbers than I would swithc.","156"
"AQARFNSJBQBKO_dg_v16","2015-03-02","22:57:29","dde_fmri_2","click on a color, see w","157"
"AXKTYKCT9NGHS_dg_v16","2015-03-02","23:15:00","dde_fmri_2","I chose either even (red) or odd (blue) depending on the result of my last choice. So, if I chose even/red and it gave me positive points, I continued to choose red/even until it gave me negative points. At that point, I would switch to odd/blue. Or vice-versa. Not a particularly advanced strategy, but it worked well enough.","158"
"A37E36IPU0BJX5_dg_v16","2015-03-02","23:18:27","dde_fmri_2","I used my intuition mostly.  But, I tried to tell what numbers where hot and cold, to make my choices.","159"
"A8JXT1N2CITEM_dg_v16","2015-03-02","23:19:20","dde_fmri_2","My strategy was a combination of logic and gut instinct.","160"
"Cushman Lab FC_DDE_dg_v16","2015-03-02","23:23:40","dde_fmri_2","I just looked for patterns and whichever color gave positive points, I stuck with it.","161"
"A1IFF4KV23FGHJ_dg_v16","2015-03-02","23:31:48","dde_fmri_2","I went with a certain color until it started to give me negative points for 2 or more choices.  Then I would switch colors, I would ignore green results.","162"
